0102700, 10337, Q4 2014 Marchon	- Volume & Growth, 679.7721, 00000007E, 31
0102900, 10368, Q4 2014 Marchon	- Volume & Growth, 516.6540, 00000007E, 31
0103400, 10348, Q4 2014 Marchon	- Volume & Growth, 300.8740, 00000007E, 31
0103500, 10439, Q4 2014 Marchon	- Volume & Growth, 536.7282, 00000007E, 31
0103600, 10334, Q4 2014 Marchon	- Volume & Growth, 1003.4040, 00000007E, 31
0104800, 10335, Q4 2014 Marchon	- Volume & Growth, 629.5353, 00000007E, 31
0108800, 10338, Q4 2014 Marchon	- Volume & Growth, 1387.5288, 00000007E, 31
0109900, 10339, Q4 2014 Marchon	- Volume & Growth, 1436.9368, 00000007E, 31
0110004, 10445, Q4 2014 Marchon	- Volume & Growth, 598.2960, 00000007E, 31
0110600, 10340, Q4 2014 Marchon	- Volume & Growth, 707.1528, 00000007E, 31
0112700, 10359, Q4 2014 Marchon	- Volume & Growth, 1205.8924, 00000007E, 31
0114100, 10336, Q4 2014 Marchon	- Volume & Growth, 2427.9988, 00000007E, 31
0116700, 10341, Q4 2014 Marchon	- Volume & Growth, 1020.2376, 00000007E, 31
0119400, 10446, Q4 2014 Marchon	- Volume & Growth, 317.1894, 00000007E, 31
0120300, 10342, Q4 2014 Marchon	- Volume & Growth, 731.1297, 00000007E, 31
0122800, 10343, Q4 2014 Marchon	- Volume & Growth, 1238.6064, 00000007E, 31
0124100, 10369, Q4 2014 Marchon	- Volume & Growth, 1262.9360, 00000007E, 31
0124600, 10344, Q4 2014 Marchon	- Volume & Growth, 441.5043, 00000007E, 31
0125400, 10345, Q4 2014 Marchon	- Volume & Growth, 570.6075, 00000007E, 31
0130800, 10346, Q4 2014 Marchon	- Volume & Growth, 496.2381, 00000007E, 31
0131200, 10370, Q4 2014 Marchon	- Volume & Growth, 1036.3256, 00000007E, 31
0135300, 10376, Q4 2014 Marchon	- Volume & Growth, 424.3290, 00000007E, 31
0138000, 10350, Q4 2014 Marchon	- Volume & Growth, 341.8806, 00000007E, 31
0139900, 10360, Q4 2014 Marchon	- Volume & Growth, 302.4432, 00000007E, 31
0146600, 10349, Q4 2014 Marchon	- Volume & Growth, 555.2013, 00000007E, 31
0148900, 10351, Q4 2014 Marchon	- Volume & Growth, 363.3912, 00000007E, 31
0149200, 10355, Q4 2014 Marchon	- Volume & Growth, 1537.1132, 00000007E, 31
0149900, 10347, Q4 2014 Marchon	- Volume & Growth, 629.7867, 00000007E, 31
0150001, 10352, Q4 2014 Marchon	- Volume & Growth, 1321.7272, 00000007E, 31
0151400, 10353, Q4 2014 Marchon	- Volume & Growth, 1127.6024, 00000007E, 31
0153300, 10354, Q4 2014 Marchon	- Volume & Growth, 1408.9100, 00000007E, 31
0155500, 10356, Q4 2014 Marchon	- Volume & Growth, 356.0940, 00000007E, 31
0156200, 10357, Q4 2014 Marchon	- Volume & Growth, 477.7734, 00000007E, 31
0156300, 10358, Q4 2014 Marchon	- Volume & Growth, 646.9500, 00000007E, 31
0158600, 10361, Q4 2014 Marchon	- Volume & Growth, 468.9480, 00000007E, 31
0160800, 10362, Q4 2014 Marchon	- Volume & Growth, 1227.0768, 00000007E, 31
0161200, 10363, Q4 2014 Marchon	- Volume & Growth, 369.9087, 00000007E, 31
0162600, 10364, Q4 2014 Marchon	- Volume & Growth, 303.2130, 00000007E, 31
0163400, 10365, Q4 2014 Marchon	- Volume & Growth, 515.3946, 00000007E, 31
0163700, 10366, Q4 2014 Marchon	- Volume & Growth, 557.9745, 00000007E, 31
0164300, 10367, Q4 2014 Marchon	- Volume & Growth, 677.8305, 00000007E, 31
0165900, 10371, Q4 2014 Marchon	- Volume & Growth, 1090.6964, 00000007E, 31
0167502, 10447, Q4 2014 Marchon	- Volume & Growth, 389.2485, 00000007E, 31
0168300, 10372, Q4 2014 Marchon	- Volume & Growth, 1214.4804, 00000007E, 31
0168600, 10373, Q4 2014 Marchon	- Volume & Growth, 1881.4540, 00000007E, 31
0169100, 10374, Q4 2014 Marchon	- Volume & Growth, 315.9570, 00000007E, 31
0169600, 10375, Q4 2014 Marchon	- Volume & Growth, 448.5234, 00000007E, 31
0169900, 10377, Q4 2014 Marchon	- Volume & Growth, 390.5751, 00000007E, 31
0170000, 10378, Q4 2014 Marchon	- Volume & Growth, 494.2556, 00000007E, 31
0170100, 10379, Q4 2014 Marchon	- Volume & Growth, 525.2826, 00000007E, 31
0171100, 10380, Q4 2014 Marchon	- Volume & Growth, 358.4145, 00000007E, 31
0172300, 10381, Q4 2014 Marchon	- Volume & Growth, 905.1720, 00000007E, 31
0172302, 10448, Q4 2014 Marchon	- Volume & Growth, 619.6602, 00000007E, 31
0172700, 10382, Q4 2014 Marchon	- Volume & Growth, 309.1508, 00000007E, 31
0174000, 10383, Q4 2014 Marchon	- Volume & Growth, 609.9969, 00000007E, 31
0174700, 10384, Q4 2014 Marchon	- Volume & Growth, 443.0898, 00000007E, 31
0174800, 10385, Q4 2014 Marchon	- Volume & Growth, 1202.0100, 00000007E, 31
0175100, 10386, Q4 2014 Marchon	- Volume & Growth, 397.9052, 00000007E, 31
0176800, 10387, Q4 2014 Marchon	- Volume & Growth, 1173.9032, 00000007E, 31
0177300, 10388, Q4 2014 Marchon	- Volume & Growth, 269.5648, 00000007E, 31
0179100, 10389, Q4 2014 Marchon	- Volume & Growth, 744.5895, 00000007E, 31
0182402, 10449, Q4 2014 Marchon	- Volume & Growth, 1540.0976, 00000007E, 31
0183400, 10390, Q4 2014 Marchon	- Volume & Growth, 1193.9448, 00000007E, 31
0185100, 10391, Q4 2014 Marchon	- Volume & Growth, 700.4724, 00000007E, 31
0185200, 10392, Q4 2014 Marchon	- Volume & Growth, 428.3102, 00000007E, 31
0185600, 10393, Q4 2014 Marchon	- Volume & Growth, 436.1073, 00000007E, 31
0188300, 10394, Q4 2014 Marchon	- Volume & Growth, 306.8982, 00000007E, 31
0189000, 10395, Q4 2014 Marchon	- Volume & Growth, 1851.8956, 00000007E, 31
0189200, 10396, Q4 2014 Marchon	- Volume & Growth, 454.4823, 00000007E, 31
0189600, 10397, Q4 2014 Marchon	- Volume & Growth, 660.6312, 00000007E, 31
0192700, 10398, Q4 2014 Marchon	- Volume & Growth, 3090.5712, 00000007E, 31
0194100, 10399, Q4 2014 Marchon	- Volume & Growth, 501.6267, 00000007E, 31
0194600, 10400, Q4 2014 Marchon	- Volume & Growth, 566.3433, 00000007E, 31
0196300, 10401, Q4 2014 Marchon	- Volume & Growth, 482.7339, 00000007E, 31
0196800, 10402, Q4 2014 Marchon	- Volume & Growth, 342.6390, 00000007E, 31
0198200, 10403, Q4 2014 Marchon	- Volume & Growth, 642.1059, 00000007E, 31
0198700, 10404, Q4 2014 Marchon	- Volume & Growth, 512.5470, 00000007E, 31
0199800, 10405, Q4 2014 Marchon	- Volume & Growth, 461.2388, 00000007E, 31
0200800, 10406, Q4 2014 Marchon	- Volume & Growth, 1129.3840, 00000007E, 31
0201600, 10407, Q4 2014 Marchon	- Volume & Growth, 347.0019, 00000007E, 31
0204100, 10408, Q4 2014 Marchon	- Volume & Growth, 405.8184, 00000007E, 31
0204400, 10409, Q4 2014 Marchon	- Volume & Growth, 250.1148, 00000007E, 31
0206400, 10410, Q4 2014 Marchon	- Volume & Growth, 257.1332, 00000007E, 31
0207300, 10411, Q4 2014 Marchon	- Volume & Growth, 449.6433, 00000007E, 31
0207800, 10412, Q4 2014 Marchon	- Volume & Growth, 717.8178, 00000007E, 31
0208200, 10413, Q4 2014 Marchon	- Volume & Growth, 1513.6232, 00000007E, 31
0208900, 10414, Q4 2014 Marchon	- Volume & Growth, 300.6291, 00000007E, 31
0212200, 10415, Q4 2014 Marchon	- Volume & Growth, 685.7490, 00000007E, 31
0212400, 10416, Q4 2014 Marchon	- Volume & Growth, 370.7394, 00000007E, 31
0212600, 10417, Q4 2014 Marchon	- Volume & Growth, 390.2469, 00000007E, 31
0213600, 10418, Q4 2014 Marchon	- Volume & Growth, 1114.7656, 00000007E, 31
0214302, 10450, Q4 2014 Marchon	- Volume & Growth, 202.5306, 00000007E, 31
0215400, 10419, Q4 2014 Marchon	- Volume & Growth, 416.2395, 00000007E, 31
0215600, 10420, Q4 2014 Marchon	- Volume & Growth, 356.8260, 00000007E, 31
0220600, 10421, Q4 2014 Marchon	- Volume & Growth, 484.6560, 00000007E, 31
0223100, 10422, Q4 2014 Marchon	- Volume & Growth, 344.1432, 00000007E, 31
